Bus Timings,day_1,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27
5:30,1,1,1,1,0,1,1,2,2,0,2,2,0,2,2,0,1,1,2,1,0,2,1,0,1,2,2
5:41,1,2,1,0,0,1,2,0,1,0,2,0,0,0,1,0,0,0,2,1,1,2,0,0,0,2,0
5:52,3,1,2,2,2,0,0,2,0,1,2,0,2,2,1,2,1,2,1,2,2,2,1,2,1,1,2
6:03,1,1,1,1,2,0,1,2,0,2,0,2,2,0,1,0,2,1,0,2,0,0,1,1,0,2,0
6:14,2,2,1,0,1,0,2,1,2,0,0,0,2,0,2,0,0,1,0,1,1,0,0,1,1,1,1
6:25,1,0,1,0,2,2,2,2,2,1,1,2,2,2,0,2,2,2,0,2,2,1,2,1,1,1,1
6:36,3,0,1,0,2,2,1,2,2,0,1,1,2,2,2,1,2,2,0,0,1,1,0,1,0,0,0
6:47,1,1,2,0,0,0,2,1,2,1,0,0,0,1,2,0,2,1,0,2,0,0,0,2,2,2,1
6:55,12,6,12,1,0,6,8,2,9,10,5,10,11,1,2,7,5,2,15,8,1,0,3,0,2,9,3
7:03,0,15,0,4,12,10,1,14,10,14,7,7,6,7,12,14,12,4,11,3,13,1,10,11,13,14,0
7:11,3,15,10,14,1,2,2,13,10,10,6,14,5,12,12,11,10,11,11,4,2,0,3,3,15,14,3
7:19,7,8,15,6,5,4,6,7,10,3,0,2,15,7,3,6,0,1,1,3,2,12,5,11,14,15,13
7:27,4,1,6,7,5,13,11,1,4,14,10,12,15,3,6,7,13,13,9,0,10,3,2,15,12,4,1
7:35,0,0,2,5,5,7,11,4,10,12,10,8,0,8,2,4,14,11,0,12,7,4,13,3,9,0,5
7:43,0,7,4,1,15,6,5,6,0,11,12,0,15,10,3,0,7,11,4,11,10,5,12,9,1,5,7
7:51,13,14,10,10,14,1,10,3,2,1,5,11,6,0,12,12,7,14,6,13,13,0,3,7,4,13,14
7:59,12,4,5,11,15,13,1,9,13,14,10,2,4,7,9,13,5,14,0,14,10,6,14,9,9,15,7
8:07,15,7,12,0,4,0,13,4,2,0,12,9,13,9,9,10,0,4,11,5,10,12,8,12,0,1,12
8:15,15,11,0,3,2,0,5,8,12,8,15,15,10,14,15,13,7,1,4,9,4,9,2,14,12,15,12
8:23,0,5,4,3,10,5,1,11,0,0,0,9,5,3,0,8,10,15,13,11,14,6,3,12,9,0,1
8:31,9,13,11,4,11,7,5,0,8,8,13,1,14,0,13,10,4,9,7,5,10,12,8,10,6,2,9
8:39,11,9,13,4,10,5,6,14,7,10,1,11,5,10,9,15,8,15,0,10,3,2,6,13,11,8,0
8:47,12,6,10,0,0,7,0,13,4,13,2,10,13,12,14,1,6,12,12,1,3,10,1,5,7,15,2
8:55,14,11,8,15,6,5,2,13,7,10,5,7,0,8,14,1,3,1,13,4,15,11,12,13,6,11,12
9:03,2,2,15,9,2,12,9,2,3,3,6,2,8,3,3,8,12,0,5,12,11,6,14,1,13,10,1
9:11,4,4,15,10,3,7,3,2,5,0,7,2,3,8,1,14,13,6,10,0,0,13,11,7,1,10,11
9:19,6,10,0,4,9,9,14,9,8,15,8,14,0,2,10,13,11,8,11,0,9,7,3,12,15,1,15
9:27,3,6,4,9,8,1,3,1,2,12,9,6,0,4,2,3,5,15,14,13,0,7,2,1,1,12,11
9:38,1,0,3,1,4,4,2,6,4,3,6,1,2,9,8,9,0,8,10,6,1,10,2,4,6,6,6
9:49,8,5,1,5,9,3,2,7,10,6,0,9,1,3,4,5,1,6,6,6,5,3,2,2,5,0,0
10:00,2,10,4,8,1,0,10,0,3,7,8,8,6,0,2,4,9,8,9,3,7,6,3,0,7,9,9
10:11,7,6,2,9,0,9,7,2,2,7,9,1,6,6,3,2,10,1,3,5,4,6,7,3,5,6,10
10:22,8,10,1,8,7,4,6,2,5,3,3,1,4,1,1,8,1,3,10,9,5,1,7,9,4,9,5
10:33,4,1,1,10,6,10,4,1,7,4,10,3,8,7,0,9,6,0,7,7,2,8,2,0,2,2,7
10:44,1,4,0,4,2,4,4,9,10,4,6,6,0,5,1,5,10,1,8,5,1,3,9,0,7,0,2
10:55,7,3,5,4,3,1,1,1,7,2,1,9,7,0,6,6,8,4,3,4,2,2,6,5,6,2,5
11:06,0,8,10,2,2,9,7,3,7,5,0,9,4,2,10,4,6,4,9,3,10,8,1,6,2,3,1
11:17,7,2,4,10,7,1,5,5,4,0,2,3,7,2,2,4,7,6,1,8,8,4,8,3,1,9,10
11:28,3,4,4,7,10,5,9,2,1,6,10,6,2,7,0,1,2,10,1,7,3,10,9,1,0,6,7
11:39,6,0,7,7,3,1,2,7,3,5,9,1,9,1,10,7,8,1,4,4,2,3,1,1,7,10,2
11:50,4,1,3,8,9,6,6,7,7,6,7,7,1,7,6,8,5,1,10,8,2,3,3,9,6,4,5
12:01,1,5,10,7,1,7,5,8,2,1,5,3,6,6,1,3,4,5,5,0,3,4,2,5,4,2,9
12:12,10,10,3,3,4,7,0,10,6,0,6,1,4,6,8,10,9,4,3,7,9,9,10,6,2,6,2
12:23,1,6,8,2,2,7,5,6,5,7,3,5,7,0,5,6,4,7,4,3,7,2,2,10,10,5,8
12:34,2,7,8,10,1,8,1,7,7,10,2,8,4,0,5,4,7,10,5,0,8,7,10,0,4,0,10
12:45,0,6,5,6,8,0,8,8,6,0,9,5,5,7,1,10,6,9,0,1,0,1,8,10,9,8,7
12:56,8,2,5,9,6,5,2,3,10,8,9,10,7,0,3,6,2,3,2,0,4,0,7,0,3,4,10
13:07,10,5,3,7,5,2,0,9,3,1,2,3,3,9,1,8,8,3,10,5,10,10,8,3,0,0,1
13:18,7,9,9,7,8,3,3,6,9,9,5,5,2,2,4,3,6,3,9,4,5,8,10,1,5,0,4
13:29,6,1,6,3,1,0,7,8,7,9,6,0,7,4,8,1,6,3,5,8,8,10,10,10,2,1,5
13:40,0,3,8,6,1,3,5,2,2,6,8,1,5,0,2,0,1,10,4,0,10,8,4,0,1,9,10
13:51,8,6,2,6,0,0,9,2,10,7,2,10,10,4,1,0,1,1,10,8,9,4,5,8,3,6,4
14:02,10,5,9,0,2,9,8,5,8,1,8,7,7,4,2,4,10,10,4,0,9,4,6,4,9,6,3
14:13,0,10,8,3,2,5,7,9,5,0,7,3,2,3,7,9,7,2,0,9,3,4,1,5,8,8,6
14:24,10,1,4,8,0,0,3,1,10,0,6,10,2,7,8,7,8,6,5,9,8,1,1,8,7,3,4
14:35,7,1,9,2,4,5,0,3,9,6,9,9,2,7,5,4,3,4,7,8,9,8,6,7,9,0,5
14:46,3,6,2,7,1,2,2,5,10,4,4,3,5,5,4,1,5,10,4,9,1,8,2,7,0,4,6
14:57,9,0,1,10,1,0,6,5,6,2,4,7,9,4,7,0,0,8,8,3,2,0,5,3,7,1,2
15:08,4,4,0,9,10,9,2,5,10,4,9,4,6,0,2,9,5,3,0,7,5,5,1,0,4,6,9
15:19,3,6,10,6,5,4,9,6,6,5,0,3,1,2,0,5,4,9,6,1,5,7,8,0,9,1,10
15:30,7,0,1,4,8,0,7,2,4,4,9,0,2,0,6,6,10,6,1,9,8,7,2,4,9,1,8
15:41,5,9,10,9,10,8,6,5,2,0,3,3,6,3,5,4,4,10,6,3,2,7,0,5,1,0,8
15:52,1,6,9,3,7,0,1,6,2,6,8,4,0,5,5,6,0,8,2,5,6,1,3,2,0,5,8
16:03,10,9,5,7,10,3,10,0,0,3,7,0,9,6,6,7,8,6,6,4,8,2,10,0,8,0,1
16:14,2,9,10,8,0,8,10,6,9,10,0,6,5,6,6,5,1,1,4,10,4,2,1,8,10,7,0
16:25,2,10,9,0,4,8,8,8,1,2,0,0,9,10,1,0,10,3,7,4,9,10,6,6,3,8,0
